Word	Type	Frequency
today	C	704
we	F	1120
are	F	1233
here	F	573
the	F	13447
investigatory	C	142
procedure	C	587
of	F	2357
theft	C	95
case	C	1405
number	C	867
i	F	3618
am	F	253
for	F	1917
as	F	625
an	F	747
interpreter	C	126
promise	C	130
to	F	6586
faithfully	C	123
and	F	3482
honestly	C	122
interpret	C	60
what	F	1643
is	F	3940
stated	C	161
in	F	2829
this	F	1604
court	C	1347
deliberately	C	111
making	C	125
false	C	124
interpretation	C	120
violation	C	139
perjury	C	122
will	F	1442
apply	C	132
defendant	C	913
your	F	3917
name	C	437
please	C	746
passport	C	189
ac44432189	X	41
mailing	C	245
address	C	275
you	F	10083
have	F	2549
following	C	43
rights	C	298
obligations	C	92
first	C	445
right	C	1220
remain	C	157
silent	C	167
do	F	2027
not	F	830
make	C	347
any	F	923
statement	C	238
against	F	219
second	C	189
a	F	2044
lawyer	C	344
if	F	940
come	C	391
from	F	446
low	C	199
income	C	269
family	C	244
medium	C	99
or	F	669
aborigine	C	126
meet	C	182
other	F	477
qualifications	C	108
set	C	243
by	F	399
law	C	180
may	C	508
ask	C	896
legal	C	135
assistance	C	161
third	C	94
investigate	C	427
evidence	C	524
which	F	356
help	C	471
with	F	1586
fully	C	187
understand	C	841
plaintiff	C	415
   is	X	1
my	F	1268
id	C	113
h228489212	X	45
5th	X	64
no	F	385
xue	C	12
fu	C	17
road	C	77
sanxia	C	37
district	C	74
new	C	89
taipei	C	143
city	C	141
incident	C	122
happened	C	447
on	F	1157
22nd	X	2
mr	C	43
anderson	C	48
took	C	336
umbrella	C	1261
ms	C	133
   	X	82
yingge	C	72
ceramics	C	83
museum	C	211
without	C	94
asking	C	42
permission	C	8
when	F	765
returned	C	32
found	C	379
that	F	4129
behavior	C	36
scene	C	10
therefore	C	177
filed	C	113
s	F	1684
would	C	397
like	C	242
details	C	109
day	C	634
explain	C	162
regarding	C	11
questions	C	250
prosecutor	C	245
later	C	84
about	F	630
where	F	234
were	F	227
at	F	1063
afternoon	C	14
27th	X	90
did	F	1088
see	C	215
chen	C	362
then	F	542
time	C	477
why	F	608
think	C	296
stole	C	63
her	F	585
mean	C	848
borrowed	C	42
was	F	1145
actually	C	36
adam	C	47
remember	C	70
color	C	105
shape	C	49
entire	C	3
blue	C	153
there	F	750
anyone	C	89
who	F	310
prove	C	105
said	C	262
perhaps	C	4
professor	C	44
those	F	88
two	C	285
classmates	C	37
can	F	1004
verify	C	53
true	C	65
ok	C	227
now	F	495
detail	C	32
could	C	214
elaborate	C	48
went	C	158
it	F	1416
raining	C	81
entered	C	32
put	C	111
rack	C	75
however	C	164
came	C	111
out	F	236
form	C	17
missing	C	14
asked	C	197
staff	C	34
me	F	314
find	C	150
but	F	287
saw	C	81
putting	C	3
back	C	367
he	F	1962
mine	C	32
very	F	164
angry	C	44
him	F	415
had	F	275
taken	C	36
how	F	501
feature	C	35
should	F	146
been	F	121
dark	C	34
show	C	111
page	C	187
five	C	38
file	C	171
one	C	344
belonging	C	8
yes	C	245
photo	C	34
common	C	41
people	C	116
buy	C	34
such	F	51
even	C	175
yours	F	54
button	C	45
little	C	48
broken	C	40
hard	C	12
buckle	C	6
up	F	187
terms	C	24
especially	C	30
talked	C	12
made	C	57
record	C	103
police	C	223
station	C	41
foreigner	C	121
also	C	257
be	F	623
proven	C	3
regrets	C	11
willing	C	68
apologize	C	71
forgive	C	70
after	F	580
all	F	264
missed	C	32
personality	C	2
totally	C	5
wet	C	16
got	C	107
home	C	105
don	F	368
t	F	998
want	C	818
subpoena	C	133
three	C	153
witnesses	C	53
testimony	C	1
next	C	298
date	C	146
june	C	106
19th	X	30
okay	C	222
decide	C	19
whether	C	60
mainly	C	58
fellows	C	1
doesn	F	62
matter	C	19
otherwise	C	9
take	C	315
leave	C	105
job	C	169
dismissed	C	36
parties	C	185
sign	C	58
records	C	12
translate	C	123
m	F	348
going	C	343
inform	C	140
statements	C	31
financial	C	109
status	C	112
falls	C	27
under	F	51
poverty	C	33
line	C	55
shiao	C	6
chien	C	39
floor	C	122
room	C	62
xuefu	C	28
paul	C	33
accused	C	173
stealing	C	31
action	C	35
wasn	F	8
aware	C	9
return	C	55
caught	C	24
she	F	644
decided	C	69
figure	C	10
answer	C	158
so	F	2226
question	C	128
both	F	386
15pm	X	5
say	C	150
belonged	C	14
classmate	C	20
whole	C	46
just	F	622
these	F	226
manage	C	2
further	F	111
inquire	C	12
state	C	102
gone	C	33
look	C	88
his	F	859
hand	C	28
didn	F	349
know	C	497
outside	C	42
someone	C	74
brought	C	67
guess	C	4
navy	C	2
picture	C	107
quite	C	36
normal	C	41
ones	C	3
sure	C	99
belongs	C	36
indeed	C	28
bought	C	53
bit	C	32
place	C	74
close	C	11
according	C	123
point	C	96
same	F	216
characteristics	C	6
consider	C	52
accept	C	31
apology	C	11
only	F	99
something	C	48
related	C	31
basic	C	16
ethics	C	7
wants	C	78
walk	C	8
pouring	C	4
rain	C	26
send	C	148
them	F	81
process	C	31
3pm	X	7
choose	C	36
basically	C	29
well	C	109
extra	C	32
off	F	70
end	C	112
null	C	288
ac4432189	X	1
obligation	C	37
xiao	C	36
qian	C	17
fifth	C	41
four	C	131
xuei	C	1
san	C	1
xia	C	1
twenty	C	30
seventh	C	10
ceramic	C	11
informed	C	6
tried	C	54
ll	F	55
happening	C	9
party	C	122
doing	F	29
pm	C	122
seven	C	33
miss	C	151
steal	C	24
belong	C	24
friend	C	60
kind	C	94
proved	C	5
verified	C	7
questioning	C	9
disappeared	C	7
staffs	C	2
yelled	C	3
tell	C	190
deep	C	15
many	C	115
convenient	C	15
stores	C	5
problem	C	63
locked	C	1
pretty	C	3
reconcile	C	6
settle	C	15
go	C	297
hime	C	3
witness	C	134
nineteenth	C	4
dismiss	C	13
hsao	C	3
5f	X	16
hsua	C	1
shan	F	1
hsai	C	1
suited	C	1
because	F	473
cheng	C	27
yinge	C	8
situation	C	144
purpose	C	84
plaintiss	C	1
borrow	C	6
words	C	49
mentioned	C	232
enter	C	5
really	C	131
inquired	C	1
reason	C	136
characteristic	C	11
check	C	193
everywhere	C	2
couldn	F	13
buckled	C	1
explained	C	21
called	C	28
regretful	C	8
possible	C	32
person	C	306
virtue	C	1
attend	C	15
inquiry	C	11
some	F	510
ends	C	34
before	F	135
investigation	C	39
fl	C	10
rd	C	59
dist	C	29
march	C	6
visiting	C	1
knowing	C	3
turn	C	9
files	C	19
lawsuit	C	32
clear	C	18
adan	C	3
told	C	71
they	F	311
into	F	151
noticed	C	23
lost	C	13
notice	C	12
lack	C	3
morality	C	7
specific	C	9
charateristics	C	1
broke	C	2
recognize	C	7
explanation	C	58
regret	C	13
issue	C	26
get	C	404
clarify	C	47
fine	C	39
welcome	C	3
      stealing   	X	1
 1425     	X	1
hsau	C	1
no132	X	1
ying	C	13
ge	C	13
give	C	166
sued	C	31
p	C	128
still	C	297
insist	C	11
type	C	8
innocent	C	1
friends	C	41
arrive	C	28
deliberate	C	4
gave	C	127
page5	X	5
pictures	C	3
store	C	31
sue	C	17
has	F	390
character	C	3
o	F	35
clock	C	26
number1425	X	6
robbery	C	2
qualified	C	1
qualification	C	22
